window_size,rs_value
10,2.1147
11,2.0712
12,1.8893
13,2.2324
14,2.1893
15,2.012
16,2.3722
17,2.2778
18,2.1141
19,2.4193
20,2.4916
21,2.2524
22,2.6273
23,2.6378
24,2.3879
25,2.6991
26,2.6928
27,2.4882
28,2.7914
29,2.8379
30,2.6216
31,2.9292
32,2.8972
33,2.7147
34,2.9982
35,2.9866
36,2.8184
37,3.0097
38,2.963
39,2.8387
40,3.033
41,3.116
42,2.9244
43,3.1135
44,3.2075
45,3.0602
46,3.2551
47,3.2842
48,3.1096
49,3.3161
50,3.3096
51,3.0866
52,3.2982
53,3.2951
54,3.3224
55,3.521
56,3.4267
57,3.2836
58,3.4198
59,3.4317
60,3.2596
61,3.4749
62,3.4859
63,3.2534
64,3.6326
65,3.4924
66,3.3994
67,3.3956
68,3.3503
69,3.3312
70,3.8099
71,3.7859
72,3.5273
73,3.7893
74,3.908
75,3.4252
76,3.5764
77,3.5272
78,3.4619
79,3.6327
80,3.5145
81,3.5516
82,3.8384
83,3.6663
84,3.5011
85,3.9105
86,3.6276
87,3.7266
88,4.0191
89,4.0327
90,3.7793
91,3.9592
92,3.9951
93,3.7513
94,4.1669
95,4.0205
96,3.907
97,4.1447
98,4.0061
99,3.9038
100,4.0261
101,3.8914
102,3.9856
103,4.0836
104,4.0272
105,4.2031
106,4.2361
107,4.3179
108,4.0941
109,4.4129
110,4.4509
111,4.1946
112,4.4793
113,4.5746
114,4.4814
115,4.6539
116,4.5547
117,4.6242
118,4.7316
119,4.7414
120,4.7612
121,4.8977
122,5.1732
123,4.8107
124,5.011
125,4.9948
126,5.1044
127,5.1218
128,5.1346
129,5.1688
130,5.0301
131,5.1594
132,5.0099
133,5.1701
134,5.0003
135,4.9494
136,4.9624
137,5.1625
138,4.9704
139,4.9637
140,5.2016
141,5.0299
142,5.2846
143,5.4377
144,5.5133
145,5.8947
146,5.833
147,5.6882
148,6.1977
149,6.0383
150,5.8297
151,6.1855
152,5.9363
153,5.9052
154,6.0276
155,6.0403
156,6.0707
157,6.3389
158,6.1658
159,6.0662
160,6.1751
161,6.2612
162,6.1597
163,6.3069
164,6.169
165,6.1517
166,6.3068
167,6.8175
168,6.8255
169,6.9799
170,7.1523
171,6.944
172,6.752
173,6.5709
174,6.8017
175,6.7729
176,6.6422
177,6.699
178,6.744
179,6.7131
180,6.8435
181,7.0168
182,6.8876
183,7.1838
184,6.9915
185,6.9351
186,6.9374
187,7.1073
188,7.195
189,7.0117
190,7.0095
191,7.2068
192,7.2457
193,7.3228
194,7.1548
195,6.9819
196,7.1343
197,7.0451
198,7.1102
199,7.0844
200,6.9999
201,7.6366
202,7.969
203,7.9806
204,7.8564
205,8.2776
206,8.4022
207,8.0563
208,8.3257
209,8.4242
210,8.3519
211,8.3631
212,8.1863
213,8.111
214,8.1223
215,8.3354
216,8.1846
217,8.2473
218,8.3062
219,8.1233
220,8.2475
221,8.1678
222,8.1106
223,8.1655
224,8.2252
225,8.1939
226,8.0356
227,8.0979
228,8.3274
229,8.2038
230,8.2877
231,8.3656
232,8.458
233,8.6106
234,8.7365
235,8.7625
236,8.7928
237,8.8611
238,9.0548
239,9.1776
240,9.0977
241,9.4528
242,9.2121
243,9.1626
244,9.6159
245,9.7059
246,9.4652
247,9.6002
248,9.7522
249,9.6462
250,9.696
251,11.5693
252,11.6744
253,12.1071
254,12.022
255,12.0781
256,12.2532
257,12.0968
258,12.1388
259,12.1968
260,11.9443
261,12.1875
262,12.491
263,12.1506
264,12.2185
265,12.4742
266,12.3975
267,12.531
268,12.5899
269,12.4146
270,12.5189
271,12.5671
272,12.3967
273,12.6603
274,12.6646
275,12.3971
276,12.5321
277,12.7326
278,12.5864
279,12.8635
280,12.7224
281,12.7654
282,12.9225
283,12.815
284,12.7027
285,12.8564
286,12.9932
287,12.8138
288,13.0741
289,13.0285
290,12.7805
291,12.952
292,12.9333
293,12.7394
294,12.9594
295,12.7127
296,12.5031
297,12.696
298,12.7337
299,12.6485
300,12.759
301,12.84
302,12.7756
303,12.8291
304,12.9119
305,12.9327
306,13.0041
307,12.9977
308,13.0235
309,13.2253
310,13.3601
311,13.0756
312,13.1606
313,13.2328
314,13.1751
315,13.2575
316,13.2195
317,13.0216
318,13.2882
319,13.5966
320,13.0339
321,13.6154
322,13.3158
323,13.2063
324,13.2658
325,13.2193
326,13.1476
327,13.2732
328,13.4962
329,13.1354
330,13.2006
331,13.4109
332,13.1621
