N,ln_N,G_N,HL_N,delta
4,1.386294,1,1.834,-0.454737
104,4.644391,5,4.667,0.071357
204,5.31812,14,18.1491,-0.228614
304,5.717028,10,8.7045,0.148831
404,6.001415,11,9.8837,0.112945
504,6.222576,27,37.7502,-0.284772
604,6.403574,14,12.9789,0.078676
704,6.556778,18,16.1942,0.111511
804,6.689599,32,42.2153,-0.24198
904,6.806829,17,17.1919,-0.011162
1004,6.911747,18,18.5184,-0.027993
1104,7.006695,44,52.8392,-0.167285
1204,7.093405,28,26.0242,0.075921
1304,7.173192,24,22.3305,0.074765
1404,7.247081,48,69.0033,-0.304381
1504,7.315884,27,24.7605,0.090447
1604,7.380256,23,25.9482,-0.113617
1704,7.440734,55,72.3189,-0.239479
1804,7.497762,31,31.7351,-0.023165
1904,7.551712,36,38.8835,-0.074157
2004,7.6029,59,81.4616,-0.275732
2104,7.651596,35,31.6655,0.105303
2204,7.698029,32,34.8068,-0.080638
2304,7.742402,68,90.3118,-0.247053
2404,7.784889,36,34.9522,0.029978
2504,7.825645,32,36.0279,-0.1118
2604,7.864804,91,122.0941,-0.254673
2704,7.902487,43,41.9121,0.025958
2804,7.938802,34,39.2024,-0.132707
2904,7.973844,91,120.4473,-0.244483
3004,8.0077,41,41.279,-0.006759
3104,8.040447,42,42.3064,-0.007243
3204,8.072155,83,115.5386,-0.281625
3304,8.102889,56,54.7294,0.023216
3404,8.132706,49,45.3486,0.080517
3504,8.16166,88,123.6006,-0.28803
3604,8.1898,49,50.7004,-0.033539
3704,8.217169,48,48.3361,-0.006953
3804,8.243808,92,131.522,-0.300497
3904,8.269757,52,50.3001,0.033794
4004,8.295049,72,78.0287,-0.077262
4104,8.319717,104,147.9687,-0.297149
4204,8.343792,50,53.2085,-0.0603
4304,8.3673,56,54.1685,0.033812
4404,8.390268,113,146.9973,-0.231278
4504,8.412721,58,56.0751,0.034327
4604,8.434681,55,57.0221,-0.035461
4704,8.456168,131,190.7873,-0.313371
4804,8.477204,61,58.9037,0.035588
4904,8.497806,58,59.8386,-0.030727
5004,8.517993,121,162.0528,-0.25333
5104,8.53778,72,69.2449,0.039787
5204,8.557183,58,62.6211,-0.073794
5304,8.576217,140,199.3284,-0.297642
5404,8.594895,75,79.56,-0.057315
5504,8.61323,62,65.3719,-0.051581
5604,8.631236,132,176.7526,-0.253193
5704,8.648923,72,67.1893,0.071598
5804,8.666303,68,68.0933,-0.001371
5904,8.683385,134,183.9848,-0.271679
6004,8.700181,73,74.2327,-0.016606
6104,8.7167,84,87.3717,-0.038591
6204,8.73295,161,214.5289,-0.249518
6304,8.74894,82,72.5689,0.129961
6404,8.764678,77,73.4555,0.048254
6504,8.780173,140,198.2385,-0.29378
6604,8.795431,89,82.6329,0.077053
6704,8.81046,77,76.0995,0.011833
6804,8.825266,183,253.36,-0.277708
6904,8.839856,76,77.8494,-0.023756
7004,8.854237,83,84.298,-0.015398
7104,8.868413,159,212.2388,-0.250844
7204,8.882392,75,80.4561,-0.067814
7304,8.896177,86,91.2685,-0.057726
7404,8.909776,151,219.1526,-0.310982
7504,8.923191,98,102.4974,-0.043879
7604,8.93643,76,83.8994,-0.094153
7704,8.949495,169,226.0127,-0.252255
7804,8.962392,85,85.608,-0.007102
7904,8.975124,94,100.877,-0.068172
8004,8.987697,178,232.822,-0.235467
8104,9.000113,85,88.1553,-0.035793
8204,9.012377,102,109.8519,-0.071477
8304,9.024493,180,239.5827,-0.248694
8404,9.036463,97,101.7786,-0.046951
8504,9.048292,90,91.524,-0.016651
8604,9.059982,185,246.2971,-0.248875
8704,9.071538,97,99.8,-0.028056
8804,9.082961,92,94.0308,-0.021597
8904,9.094256,218,312.234,-0.301806
9004,9.105424,95,95.693,-0.007242
9104,9.116469,100,96.5215,0.036039
9204,9.127393,215,285.1752,-0.246078
9304,9.1382,87,98.1733,-0.113812
9404,9.14889,85,98.9967,-0.141386
9504,9.159468,209,298.7459,-0.300409
9604,9.169935,127,124.2168,0.022406
9704,9.180293,98,101.4571,-0.034075
9804,9.190546,205,289.668,-0.292293
9904,9.200694,102,103.0895,-0.010568
10004,9.21074,99,103.9034,-0.047191
10104,9.220687,201,279.2418,-0.280194
10204,9.230535,101,105.5265,-0.042895
10304,9.240287,130,131.2489,-0.009515
